uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MT,510010,ACORIZAL,2.0,3.0,4948.0,60.6,194.52
MT,510025,ALTA FLORESTA,17.0,17.0,62158.0,27.3,95.72
MT,510030,ALTO ARAGUAIA,7.0,8.0,17751.0,45.1,152.8
MT,510035,ALTO BOA VISTA,3.0,3.0,5920.0,50.7,177.36
MT,510040,ALTO GARÇAS,4.0,4.0,13956.0,28.7,100.31
MT,510050,ALTO PARAGUAI,4.0,6.0,7525.0,79.7,232.55
MT,510060,ALTO TAQUARI,3.0,3.0,11877.0,25.3,88.4
MT,510080,APIACÁS,3.0,3.0,8693.0,34.5,120.78
MT,510100,ARAGUAIANA,1.0,1.0,4005.0,25.0,87.39
MT,510120,ARAGUAINHA,1.0,1.0,997.0,100.3,351.05
MT,510125,ARAPUTANGA,5.0,5.0,14805.0,33.8,118.2
MT,510130,ARENÁPOLIS,4.0,4.0,10769.0,37.1,130.0
MT,510140,ARIPUANÃ,6.0,6.0,26558.0,22.6,79.07
MT,510170,BARRA DO BUGRES,8.0,9.0,29406.0,30.6,104.14
MT,510180,BARRA DO GARÇAS,19.0,19.0,73878.0,25.7,90.01
MT,510160,BARÃO DE MELGAÇO,3.0,3.0,7137.0,42.0,147.12
MT,510183,BOA ESPERANÇA DO NORTE,2.0,4.0,5877.0,68.1,208.43
MT,510185,BOM JESUS DO ARAGUAIA,3.0,3.0,7912.0,37.9,132.7
MT,510190,BRASNORTE,5.0,5.0,17645.0,28.3,99.17
MT,510260,CAMPINÁPOLIS,3.0,3.0,15808.0,19.0,66.42
MT,510263,CAMPO NOVO DO PARECIS,12.0,15.0,51722.0,29.0,94.73
MT,510267,CAMPO VERDE,14.0,16.0,49053.0,32.6,107.02
MT,510268,CAMPOS DE JÚLIO,3.0,3.0,9946.0,30.2,105.57
MT,510269,CANABRAVA DO NORTE,2.0,2.0,4451.0,44.9,157.26
MT,510270,CANARANA,8.0,8.0,28324.0,28.2,98.85
MT,510279,CARLINDA,4.0,4.0,10260.0,39.0,136.45
MT,510285,CASTANHEIRA,3.0,3.0,7392.0,40.6,142.04
MT,510300,CHAPADA DOS GUIMARÃES,9.0,9.0,19458.0,46.3,161.88
MT,510305,CLÁUDIA,4.0,4.0,9301.0,43.0,150.52
MT,510310,COCALINHO,3.0,3.0,6495.0,46.2,161.66
MT,510325,COLNIZA,7.0,7.0,26026.0,26.9,94.13
MT,510320,COLÍDER,10.0,10.0,32054.0,31.2,109.19
MT,510330,COMODORO,6.0,6.0,18469.0,32.5,113.7
MT,510335,CONFRESA,9.0,11.0,38460.0,28.6,91.0
MT,510336,CONQUISTA D'OESTE,2.0,2.0,3908.0,51.2,179.11
MT,510337,COTRIGUAÇU,5.0,6.0,10030.0,59.8,200.64
MT,510340,CUIABÁ,145.0,145.0,691875.0,21.0,73.35
MT,510343,CURVELÂNDIA,2.0,2.0,4970.0,40.2,140.84
