uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
PA,2023,116911,10 Fabricação de produtos alimentícios,1849,819.0,,41980.0,23040220.0,6435557.0,23500491.0,
PA,2024,116911,10 Fabricação de produtos alimentícios,10457,752.0,691.0,41692.0,27231886.0,7205184.0,27673936.0,
RO,2023,116911,10 Fabricação de produtos alimentícios,1849,350.0,,17329.0,13845886.0,4027003.0,13919705.0,
RO,2024,116911,10 Fabricação de produtos alimentícios,10457,373.0,321.0,17417.0,15343580.0,4042399.0,15480519.0,
RR,2023,116911,10 Fabricação de produtos alimentícios,1849,38.0,,904.0,452409.0,135540.0,427004.0,
RR,2024,116911,10 Fabricação de produtos alimentícios,10457,74.0,73.0,1362.0,807109.0,237627.0,826401.0,
TO,2023,116911,10 Fabricação de produtos alimentícios,1849,211.0,,10295.0,11967918.0,2309252.0,12050576.0,
TO,2024,116911,10 Fabricação de produtos alimentícios,10457,226.0,206.0,11053.0,14071011.0,2951161.0,13925113.0,
AC,2023,116952,11 Fabricação de bebidas,1849,11.0,,341.0,22795.0,14301.0,22410.0,
AC,2024,116952,11 Fabricação de bebidas,10457,14.0,14.0,349.0,30958.0,15859.0,31159.0,
AM,2023,116952,11 Fabricação de bebidas,1849,29.0,,3241.0,11132410.0,8299936.0,11362314.0,
AM,2024,116952,11 Fabricação de bebidas,10457,27.0,24.0,3243.0,11916246.0,9075129.0,12038382.0,
AP,2023,116952,11 Fabricação de bebidas,1849,4.0,,340.0,8707.0,6262.0,8853.0,
AP,2024,116952,11 Fabricação de bebidas,10457,5.0,5.0,326.0,12182.0,9613.0,12155.0,
MA,2023,116952,11 Fabricação de bebidas,1849,63.0,,3302.0,2509799.0,1262389.0,3791007.0,
MA,2024,116952,11 Fabricação de bebidas,10457,58.0,46.0,3338.0,2955234.0,1490570.0,3192988.0,
MT,2023,116952,11 Fabricação de bebidas,1849,49.0,,3733.0,3019703.0,1790723.0,3991512.0,
MT,2024,116952,11 Fabricação de bebidas,10457,50.0,42.0,4008.0,3511662.0,2057074.0,3756130.0,
PA,2023,116952,11 Fabricação de bebidas,1849,44.0,,3260.0,1831912.0,882762.0,2145663.0,
PA,2024,116952,11 Fabricação de bebidas,10457,47.0,43.0,3490.0,2258037.0,844032.0,2499953.0,
RO,2023,116952,11 Fabricação de bebidas,1849,22.0,,1217.0,417055.0,172500.0,551866.0,
RO,2024,116952,11 Fabricação de bebidas,10457,22.0,18.0,1184.0,875902.0,414461.0,1005697.0,
RR,2023,116952,11 Fabricação de bebidas,1849,5.0,,287.0,20007.0,11908.0,19951.0,
RR,2024,116952,11 Fabricação de bebidas,10457,5.0,4.0,,,,,
TO,2023,116952,11 Fabricação de bebidas,1849,7.0,,421.0,11464.0,4492.0,11416.0,
TO,2024,116952,11 Fabricação de bebidas,10457,9.0,7.0,463.0,15908.0,8549.0,16015.0,
AC,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
AC,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
AM,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
AM,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
AP,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
AP,2024,116960,12 Fabricação de produtos do fumo,10457,,,,,,,
MA,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
MA,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
MT,2023,116960,12 Fabricação de produtos do fumo,1849,2.0,,,,,,
MT,2024,116960,12 Fabricação de produtos do fumo,10457,2.0,2.0,,,,,
PA,2023,116960,12 Fabricação de produtos do fumo,1849,4.0,,76.0,,,,
PA,2024,116960,12 Fabricação de produtos do fumo,10457,3.0,1.0,,,,,
RO,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
RO,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
RR,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
RR,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
TO,2023,116960,12 Fabricação de produtos do fumo,1849,1.0,,,,,,
TO,2024,116960,12 Fabricação de produtos do fumo,10457,1.0,1.0,,,,,
AC,2023,116965,13 Fabricação de produtos têxteis,1849,,,,,,,
AC,2024,116965,13 Fabricação de produtos têxteis,10457,,,,,,,
AM,2023,116965,13 Fabricação de produtos têxteis,1849,16.0,,789.0,180383.0,68123.0,185649.0,
AM,2024,116965,13 Fabricação de produtos têxteis,10457,9.0,9.0,908.0,243417.0,96515.0,241691.0,
AP,2023,116965,13 Fabricação de produtos têxteis,1849,3.0,,23.0,1894.0,1338.0,1894.0,
AP,2024,116965,13 Fabricação de produtos têxteis,10457,4.0,4.0,31.0,2828.0,2488.0,3122.0,
MA,2023,116965,13 Fabricação de produtos têxteis,1849,13.0,,126.0,12628.0,5695.0,13567.0,
MA,2024,116965,13 Fabricação de produtos têxteis,10457,14.0,14.0,162.0,13117.0,9493.0,13460.0,
MT,2023,116965,13 Fabricação de produtos têxteis,1849,61.0,,1208.0,932366.0,186553.0,947888.0,
MT,2024,116965,13 Fabricação de produtos têxteis,10457,64.0,62.0,1552.0,848677.0,272179.0,869181.0,
PA,2023,116965,13 Fabricação de produtos têxteis,1849,27.0,,1423.0,135035.0,73396.0,143520.0,
PA,2024,116965,13 Fabricação de produtos têxteis,10457,18.0,18.0,,,,,
RO,2023,116965,13 Fabricação de produtos têxteis,1849,6.0,,52.0,5364.0,2513.0,5674.0,
RO,2024,116965,13 Fabricação de produtos têxteis,10457,6.0,6.0,57.0,7369.0,5294.0,7378.0,
RR,2023,116965,13 Fabricação de produtos têxteis,1849,4.0,,79.0,4702.0,3547.0,4793.0,
RR,2024,116965,13 Fabricação de produtos têxteis,10457,4.0,3.0,,,,,
TO,2023,116965,13 Fabricação de produtos têxteis,1849,3.0,,40.0,1965.0,1587.0,2176.0,
TO,2024,116965,13 Fabricação de produtos têxteis,10457,5.0,5.0,32.0,1647.0,1224.0,1871.0,
AC,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,14.0,,131.0,19576.0,12130.0,19576.0,
AC,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,15.0,15.0,176.0,16402.0,11283.0,16802.0,
AM,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,31.0,,872.0,110329.0,56697.0,106755.0,
AM,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,36.0,36.0,958.0,112032.0,67261.0,114860.0,
AP,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,5.0,,76.0,4249.0,3229.0,5437.0,
AP,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,11.0,11.0,143.0,11105.0,8119.0,11359.0,
MA,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,106.0,,2088.0,106082.0,64889.0,107789.0,
MA,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,95.0,91.0,1658.0,84682.0,61371.0,82482.0,
MT,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,112.0,,1522.0,307780.0,146261.0,300570.0,
MT,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,118.0,116.0,1360.0,426220.0,222343.0,426025.0,
PA,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,105.0,,1445.0,93313.0,37189.0,101080.0,
PA,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,88.0,84.0,1227.0,178063.0,94315.0,183223.0,
RO,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,64.0,,922.0,58708.0,36857.0,64706.0,
RO,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,74.0,73.0,786.0,45679.0,32007.0,46225.0,
RR,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,9.0,,142.0,7354.0,5464.0,8285.0,
RR,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,14.0,14.0,148.0,8810.0,5701.0,8932.0,
TO,2023,116985,14 Confecção de artigos do vestuário e acessórios,1849,36.0,,428.0,27621.0,12549.0,27753.0,
TO,2024,116985,14 Confecção de artigos do vestuário e acessórios,10457,30.0,30.0,336.0,25602.0,16599.0,26427.0,
AC,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,2.0,,,,,,
AC,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,2.0,2.0,,,,,
AM,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,7.0,,,,,,
AM,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,3.0,3.0,,,,,
AP,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,,,,,,,
AP,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,,,,,,,
MA,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,13.0,,1385.0,404393.0,187989.0,402463.0,
MA,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,14.0,14.0,1516.0,437515.0,192400.0,431351.0,
MT,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,14.0,,1432.0,700337.0,310704.0,421663.0,
MT,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,12.0,11.0,1548.0,642655.0,241434.0,209617.0,
PA,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,19.0,,1547.0,420569.0,173287.0,442091.0,
PA,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,16.0,11.0,1660.0,427161.0,160560.0,415904.0,
RO,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,9.0,,893.0,439570.0,199178.0,348950.0,
RO,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,8.0,7.0,959.0,357480.0,83935.0,210070.0,
RR,2023,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1849,,,,,,,
RR,2024,116994,"15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10457,1.0,1.0,,,,,
